ID,NOMBRE,HSTRABAJADAS,SUELDO
934,Dorette,120,37000.000000
935,Jillane,90,37000.000000
936,Carolina,88,33000.000000
937,Randy,120,15000.000000
938,Arabel,180,50000.000000
939,Verina,75,37000.000000
940,Josefina,90,30000.000000
941,Nina,120,25000.000000
942,Vernen,120,18000.000000
943,Loria,180,25000.000000
944,Isabeau,88,37000.000000
945,Cherice,220,15000.000000
946,Kimberley,325,18000.000000
947,Martyn,180,25000.000000
948,Agustin,75,25000.000000
949,Clerissa,120,15000.000000
950,Lonna,120,10000.000000
951,Wake,220,25000.000000
952,Edwina,75,42000.000000
953,Lacey,75,50000.000000
954,Laetitia,90,33000.000000
955,Delila,325,20000.000000
956,Sioux,120,12000.000000
957,Floyd,75,15000.000000
958,Trista,75,50000.000000
959,Shaughn,90,15000.000000
960,Zitella,120,42000.000000
961,Ginnie,180,15000.000000
962,Burty,60,12000.000000
963,Arley,120,33000.000000
964,Ansley,75,37000.000000
965,Kirstin,180,12000.000000
966,Karon,88,10000.000000
967,Esme,120,37000.000000
968,Berenice,325,10000.000000
969,Charlie,325,50000.000000
970,Noach,325,12000.000000
971,Mercedes,180,12000.000000
972,Sloan,325,42000.000000
973,Guglielma,120,15000.000000
974,Herrick,75,30000.000000
975,Aleksandr,88,42000.000000
976,Arlina,325,33000.000000
977,Wenonah,325,12000.000000
978,Warner,90,30000.000000
979,Libbey,120,42000.000000
980,Brana,60,10000.000000
981,Genevieve,180,20000.000000
982,Sharai,75,10000.000000
983,Josi,120,12000.000000
984,Pebrook,60,33000.000000
985,Erna,325,33000.000000
986,Ferd,88,25000.000000
987,Mohammed,220,42000.000000
988,Dawn,180,37000.000000
989,Wandie,60,25000.000000
990,Chiarra,325,18000.000000
991,Zaccaria,88,33000.000000
992,Trenna,90,10000.000000
993,Angelia,60,50000.000000
994,Raquela,180,12000.000000
995,Maxi,325,18000.000000
996,Atalanta,90,37000.000000
997,De witt,88,12000.000000
998,Jaye,75,25000.000000
999,Tamarra,60,15000.000000
1000,Saleem,60,20000.000000
1001,Nahuel,5467,34346.000000
